,title,text,subject,date,tokenize_text
5230,Ex-President Bush says hopeful despite 'pretty ugly' climate in Washington,"(Reuters) - Former U.S. president George W. Bush has described the political climate in Washington as “pretty ugly” under Donald Trump’s presidency but expressed optimism the United States would pull through despite the divisive political discourse. “I don’t like the racism and I don’t like the name-calling and I don’t like the people feeling alienated,” Bush, 70, said in an interview with People magazine that will hit newsstands on Friday. “Nobody likes that.” Promoting his first art book “Portraits of Courage: A Commander in Chief’s Tribute to America’s Warriors”, Bush said, however, that he felt no anxiety about the direction the country was headed in. “I’m optimistic about where we’ll end up,” Bush said. “We’ve been through these periods before and we’ve always had a way to come out of it. I’m more optimistic than some.”     Trump, the first Republican president since Bush left office, won the November presidential election after beating 16 other candidates to the party’s nomination, including Bush’s brother Jeb. Prominent Republicans within the establishment wing of the party, including Bush and his father, former president George H.W. Bush, shunned him or offered tepid support. Bush diverged sharply from Trump’s new administration in a separate interview with NBC’s “Today” show on Monday, saying he supported a “welcoming” immigration policy and praising the media as “indispensable to democracy,” during a wide-ranging interview with NBC’s “Today” show. [nL2N1GC0I1] Bush and his wife Laura spoke to People at their Dallas home. Proceeds from the book, a collection of portraits of wounded veterans, will help fund veterans’ health care and employment programs at the George W. Bush Presidential Center. The couple told the entertainment magazine that the center’s immigration ceremonies, reproductive-health programs for women in Africa and leadership training for Muslim women from the Middle East stand in contrast to Trump’s isolationism.  “There’s a lot of ways to speak out,” he added. “But it’s really through actions defending the values important to Laura and me. We’re a blessed nation, and we ought to help others.” Bush shrugged when People magazine asked if Trump’s immigration policies could threaten the center’s programs.   “Now that you mention it, it might bother me but we’ll figure out how to bring them over,” he said. ",politicsNews,"February 28, 2017 ",president bush climate trump presidency optimism discourse racism name people interview people magazine nobody art book courage commander chief bush anxiety direction country bush way trump president bush office election party nomination brother wing party bush father president bush support bush trump administration interview today immigration policy media democracy interview today bush wife people home proceeds book collection health care employment center couple entertainment magazine center immigration health leadership training stand contrast isolationism lot ways nation people magazine immigration center
5012,Trump's revised travel ban dealt first court setback,"(Reuters) - A federal judge in Wisconsin dealt the first legal blow to President Donald Trump’s revised travel ban on Friday, barring enforcement of the policy to deny U.S. entry to the wife and child of a Syrian refugee already granted asylum in the United States. The temporary restraining order, granted by U.S. District Judge William Conley in Madison, applies only to the family of the Syrian refugee, who brought the case anonymously to protect the identities of his wife and daughter, still living in the war-torn Syrian city of Aleppo. But it represents the first of several challenges brought against Trump’s newly amended executive order, issued on March 6 and due to go into effect on March 16, to draw a court ruling in opposition to its enforcement. Conley, chief judge of the federal court in Wisconsin’s western district and an appointee of former President Barack Obama, concluded the plaintiff “has presented some likelihood of success on the merits” of his case and that his family faces “significant risk of irreparable harm” if forced to remain in Syria. The plaintiff, a Sunni Muslim, fled Syria to the United States in 2014 to “escape near-certain death” at the hands of sectarian military forces fighting the Syrian government in Aleppo, according to his lawsuit.  He subsequently obtained asylum for his wife and their only surviving child, a daughter, and their application had cleared the security vetting process and was headed for final processing when it was halted by Trump’s original travel ban on Jan. 27. That executive order sought to ban admission to the United States of citizens from seven Muslim-majority countries - Iran, Libya, Somalia, Sudan, Syria, Yemen and Iraq - for 120 days and to suspend entry of all refugees indefinitely.  The original travel ban, which caused widespread chaos and protests at airports when first implemented, was rescinded after the state of Washington won a nationwide federal court order blocking further enforcement of the policy. The modified executive order reduced the number of excluded counties - removing Iraq from the list - and lifted the indefinite refugee travel ban for Syrians. But opponents from several states have gone to court seeking to halt its implementation as well. “The court appreciates that there may be important differences between the original executive order, and the revised executive order,” Conley wrote in his decision. “As the order applies to the plaintiff here, however, the court finds his claims have at least some chance of prevailing for the reasons articulated by other courts.” In a related development on Friday, the federal judge in Seattle who imposed a nationwide injunction on enforcement of the original travel ban refused a request to apply that order to the revised policy, saying that lawyers from states opposed to the measure needed to file more extensive court papers. ",politicsNews,"March 11, 2017 ",judge blow president ban enforcement policy entry wife child refugee asylum restraining order district judge family refugee case wife daughter war city trump executive order march effect march court ruling opposition enforcement chief judge court district appointee president plaintiff likelihood success case family risk harm plaintiff death government lawsuit asylum wife child daughter application security process trump travel ban executive order admission majority days entry travel ban chaos state court order enforcement policy executive order number list refugee travel ban court implementation court executive order executive order decision order plaintiff court chance development judge injunction enforcement travel ban request order policy measure court
7126,"Trump outlines plans for first day in office, meets with Cabinet hopefuls","NEW YORK/WASHINGTON (Reuters) - U.S. President-elect Donald Trump outlined plans on Monday for his first day in office, including withdrawing from a major trade accord and investigating abuses of work visa programs, and met with Cabinet hopefuls at his Manhattan office tower. Trump met with Oklahoma Governor Mary Fallin, Democratic U.S. Representative Tulsi Gabbard and former Texas Governor Rick Perry. But he announced no further appointments, keeping candidates and the public guessing about the shape of the administration that will take office on Jan. 20. Fallin, Gabbard and Perry were the latest of dozens of officials who have made their way across the opulent lobby of Trump Tower for talks with the Republican president-elect in a relatively open - and unconventional - transition process since his election victory on Nov. 8. Trump, who has not held a news conference since his election, issued a video on Monday evening outlining some of his plans for his first day in office, including formally declaring his intent to withdraw from the Trans-Pacific Partnership, or TPP, trade deal, which he called “a potential disaster for our country.” The 12-nation TPP is Democratic President Barack Obama’s signature trade initiative and was signed by the United States earlier this year but has not been ratified by the U.S. Senate. The president-elect said he would replace the accord with bilaterally negotiated trade deals that would “bring jobs and industry back onto American shores.” “My agenda will be based on a simple core principle:  putting America first. Whether it’s producing steel, building cars or curing disease, I want the next generation of production and innovation to happen right here on our great homeland, America, creating wealth and jobs for American workers,” he said. Japanese Prime Minister Shinzo Abe said on Monday the TPP “would be meaningless without the United States.” Trump said he would cancel some restrictions on producing energy in the United States on his first day in office, particularly shale oil and “clean coal,” which he said would create “many millions of high-paying jobs.” He promised to direct the Labor Department to investigate abuses of visa programs for immigrant workers. The main U.S. visa program for technology workers could face tough scrutiny under Trump and his proposed attorney general, U.S. Senator Jeff Sessions, a longtime critic of the program. Trump had made eliminating regulations and withdrawing from the TPP central to his campaign, but he sent mixed signals during the campaign about his views on visa programs including the main H-1B visa for high-tech industry workers. Trump has so far picked two Cabinet members and three top White House advisers, but aides said he was not expected to make further announcements on Monday. “They could come this week, they could come today, but we’re not in a rush to publish names,” Kellyanne Conway, a senior adviser, told reporters. “We’ve got to get it right.” Trump spoke often with reporters camped out at his New Jersey golf course over the weekend, but has not held a traditional news conference to talk about his priorities. He held an off-the-record meeting with a group of television anchors and executives on Monday afternoon and was scheduled to meet with print media representatives on Tuesday. The Washington Post reported that four participants at Monday’s meeting described it as a contentious but generally respectful session. They told the Post that Trump singled out reporting of his campaign by CNN and NBC that he considered to be unfair.  Trump also returned to Twitter on Monday night, saying  “many people” would like to see Brexit campaigner Nigel Farage as British ambassador to the United States. “He would do a great job!” Farage, who helped lead the successful referendum fight for Britain to leave the European Union, spoke at a Trump rally during the U.S. campaign and visited the president-elect after his victory. Trump’s first meeting on Monday was with Iraq war veteran  Gabbard, a representative from Hawaii who backed U.S. Senator Bernie Sanders in his unsuccessful 2016 Democratic presidential nominating contest against Hillary Clinton. The “frank and positive” discussion focused on the war in Syria, counterterrorism and other foreign policy issues, Gabbard said in a statement. She did not say whether a Cabinet role was part of the discussion. Gabbard has veered from Democratic Party positions at times, backing policies cracking down on immigration to the United States by Muslims. Fallin told reporters she was not offered a position but discussed “a wide range of topics” with Trump. The Republican governor’s spokesman said that included a focus on the Interior Department, an agency whose responsibilities include oversight of oil and gas leases on public lands. Former Republican U.S Senator Scott Brown of Massachusetts told reporters he had a “great” meeting about veterans’ issues with Trump. Trump also met with former House of Representatives Speaker Newt Gingrich and Elaine Chao, the U.S. labor secretary under former President George W. Bush, advisers said. Trump’s transition team said Perry, the former Texas governor, was being considered for Cabinet posts including defense, energy and veterans affairs.  Trump, a New York businessman who has never previously held public office and who was the surprise winner over Clinton this month, has so far named senior leaders of his national security and law enforcement teams. In addition to Sessions, they are U.S. Representative Mike Pompeo of Kansas as CIA director, and retired Army Lieutenant General Michael Flynn as White House national security adviser. For Thanksgiving, Trump planned to travel on Tuesday to Mar-a-Lago, a golf resort he owns in Florida, a spokesman said. ",politicsNews,"November 21, 2016 ",york president trump day office trade accord work visa cabinet office tower trump governor mary tulsi gabbard governor rick perry guessing shape administration office gabbard perry way lobby trump tower president elect transition process election victory trump news conference election video day office intent partnership trade deal disaster country nation president signature trade initiative year president elect accord trade industry agenda core principle steel building disease generation production innovation homeland wealth minister trump energy day office oil clean coal millions labor department visa visa program technology scrutiny trump attorney senator jeff sessions critic program trump campaign campaign visa tech industry cabinet house week today rush adviser trump jersey golf course weekend news conference record meeting group television afternoon media post meeting session post trump campaign trump night people campaigner ambassador job referendum fight union rally campaign president elect victory trump war veteran representative senator sanders contest frank discussion war policy gabbard statement cabinet role part discussion gabbard party times immigration position range trump governor spokesman focus department agency oversight oil gas senator meeting trump trump house elaine labor secretary president trump transition team governor cabinet defense energy york businessman office surprise winner month security law enforcement addition sessions representative mike director army house security adviser trump golf resort spokesman
6470,Trump's EPA pick resigns from Rule of Law Defense Fund: Bloomberg,"(Reuters) - U.S. President-elect Donald Trump’s pick to lead the Environmental Protection Agency resigned as chairman of the Rule of Law Defense Fund in November, Bloomberg reported on Friday, citing a financial disclosure report filed with the Office of Government Ethics.  Oklahoma Attorney General Scott Pruitt, a critic of federal environmental regulation, has been questioned by environmental activists and Democrats on the U.S. Senate’s environmental panel about his ties to the energy industry. After resigning as chairman in November, Pruitt resigned from the board of the Rule of Law Defense Fund in December, Bloomberg said. (bloom.bg/2ilrlLa) The Rule of Law Defense Fund describes itself as a “public policy organization for issues relevant to the nation’s Republican attorneys general.”  The Rule of Law Defense Fund and Trump’s transition team did not respond to a request for comment. Pruitt could not immediately be reached outside regular business hours. Reuters was not immediately able to verify the report with the Office of Government Ethics. ",politicsNews,"January 7, 2017 ",president trump pick protection agency chairman rule law defense fund disclosure report office government ethics attorney critic regulation senate panel energy industry chairman board rule law defense fund bloom rule law defense fund policy organization nation rule law defense fund trump transition team request comment business report office government ethics
13529,Bosnian Croat war crimes convict dies after taking 'poison' in U.N. court,"THE HAGUE (Reuters) - A former Bosnian Croat military commander swallowed what he said was poison in a U.N. war crimes courtroom on Wednesday and died shortly after losing an appeal against his 20-year prison term. Slobodan Praljak s apparent courtroom suicide, which was broadcast on a video feed, came in the final minutes of the last judgment at the International Criminal Tribunal for the Former Yugoslavia, which closes next month after 24 years. The white-bearded Praljak, 72, was taken to hospital after drinking from a flask or glass as an ICTY judge read out appeals rulings against him and five other convicted Bosnian Croat war criminals, tribunal spokesman Nenad Golcevski said.  I just drank poison,  the ex-general told the stunned court.  I am not a war criminal. I oppose this conviction.  After gulping down the drink, he sat back down and slumped in his chair, said a lawyer who was in the courtroom at the time.  Praljak drank a liquid in court and quickly fell ill,  Golcevski said. He was treated by tribunal medical staff, but  passed away today at the HMC hospital in The Hague , he said. Presiding Judge Carmel Agius hastily suspended the hearings and the courtroom was declared a crime scene by Dutch authorities. As a forensic investigation got under way, the chamber was sealed off and the public told to leave.  Don t take away the glass!  Agius said, instructing the guards to lower blinds and block a glass-partition separating the court from the public. In the chaotic moments that followed, guards and paramedics raced in and out of the courtroom, and ambulances sped away. Croatian Prime Minister Andrej Plenkovic, whose country was the patron of separatist Croat forces in Bosnia s 1992-95 war, said he regretted Praljak s death and offered condolences to his family.  His act tells the most about deep ethical injustice toward the six Bosnian Croats and the Croatian people.  The ICTY upheld on appeal Praljak s conviction on charges of crimes against humanity over persecution, murders and expulsions of Bosnian Muslims from territory captured by nationalist Bosnian Croats and the brutal imprisonment of 1,000 Muslims. A reading of the judgment, which was also ruling on appeals against convictions and sentences against five other Bosnian Croat convicts, resumed more than two hours after Praljak drank the apparent poison. The incident upstaged the appeals rulings, which were important for Croatia - it suspended a session of parliament so lawmakers could follow the hearing. In the southern Bosnian town of Mostar, where Bosnian Croats and Muslims fought each other in the war and now co-exist in an uneasy peace, cafes closed to avoid incidents. Praljak was acquitted of some charges of wanton destruction related to the Bosnian Croat militia s shelling of Mostar s iconic, Ottoman-era Old Bridge because the judges ruled that it had been a legitimate military target. About a thousand Bosnian Croats gathered in a Mostar square late on Wednesday to light candles in support of Praljak. A mass in his honor was held in a packed Catholic cathedral, where churchgoers draped themselves in Croatian flags.  I came here to support our generals and pay respect to General Praljak who could not bear injustice and made his final verdict. He is our pride and hero,  said Darko Drmac, a Bosnian Croat war veteran. Fikret Kurtic, a Mostar Muslim who was detained in a Croat-run detention center during the war, said the verdict could not change the past but  may serve as an example for others in this divided country that crimes cannot go unpunished.  Kasim Brkovic, an unemployed Bosnian Muslim war veteran and former prisoner, said:  The same people are in power today and we still live in a camp, it s just they don t beat us anymore.  The ICTY also upheld the convictions of Jadranko Prlic, former political leader of the breakaway Bosnian Croat statelet during the war, along with military and police figures Bruno Stojic, Milivoj Petrovic, Valentin Coric and Berislav Pusic. Judges ruled there had been a criminal conspiracy, with the involvement of Croatia s government under then-President Franjo Tudjman - who died in 1999 - aimed at the  ethnic cleansing of the Muslim population  of parts of Bosnia to cement Croat domination there. The defendants on Wednesday received sentences ranging from 10 to 25 years. The decision cannot be appealed. The chairman of post-war Bosnia s shaky, Muslim-Serb-Croat  presidency, Dragan Covic, a Croat, said:  (Praljak) showed before the whole world what kind of sacrifice he is ready to make to prove that he is not a war criminal.  Previously, two defendants awaiting their ICTY trial, both Serbs, committed suicide by hanging themselves in their U.N. cells, according to court documents. Slavko Dogmanovic died in 1998 and Milan Babic was found dead in his locked cell in 2006. The ICTY indicted 161 suspects in all from Bosnia, Croatia, Serbia, Montenegro and Kosovo in connection with atrocities in the ethnic wars there during the 1990s. Of the 83 convicted, more than 60 of them were ethnic Serbs. The court s lead suspect, former Yugoslav and Serbian President Slobodan Milosevic, died of a heart attack in March 2006 months before a ruling in his genocide trial. Last week, former Bosnian Serb military commander Ratko Mladic was convicted of genocide, war crimes and crimes against humanity for mass killings and expulsions of Muslims and the siege of Sarajevo, and sentenced to life in prison. Mladic s lawyers tried to delay the verdict mid-reading by saying he was too ill to continue, and Mladic was then removed from the courtroom after shouting that judges were  liars . ",worldnews,"November 29, 2017 ",commander poison war courtroom appeal year prison term courtroom suicide video feed judgment tribunal month hospital flask glass judge war spokesman drank poison ex court war criminal conviction drink chair lawyer courtroom time drank liquid court staff today hospital judge courtroom crime scene investigation way chamber glass glass partition court public courtroom minister country patron separatist war death family act injustice people upheld appeal conviction humanity persecution territory imprisonment reading judgment poison incident session parliament hearing town war exist peace wanton destruction militia shelling era bridge target thousand square support mass honor cathedral respect injustice verdict pride hero war veteran detention center war verdict example country war veteran prisoner people power today camp leader breakaway statelet war conspiracy involvement government president cleansing population domination decision cannot chairman post war presidency world kind sacrifice war trial court cell connection court lead president heart attack march ruling genocide trial week commander war humanity mass siege life prison verdict mid reading courtroom
15730,Germany could award contract for new spy satellites this month: RND news group,"BERLIN (Reuters) - The German government could award a 400 million euros ($465 million) contract this month for work on up to three new spy satellites for its foreign intelligence service, the RND news group reported late on Friday. Citing security sources, it said the funds had already been quietly approved by the budget committee of the Bundestag, or lower house of parliament. The newspaper chain said Airbus and the Bremen-based company OHB had submitted separate bids to build the new satellite system called  George . It quoted unnamed lawmakers as saying that Israel Aerospace Industries [ISRAI.UL] may also have submitted a bid. The new satellites are to be used by the BND intelligence agency to provide  rapid, independent information and threat assessments,  RND said, citing a paper from the chancellery.  It s not enough anymore to be dependent on third parties to generate data, to purchase imagery on the commercial market or to request it from international partners,  the paper said. Increasing crises around the world could impact Germany, and  political decisionmakers expect immediate and valid information  from intelligence agencies. No comment was immediately available from the chancellery or the BND intelligence agency. ($1 = 0.8617 euros) ",worldnews,"November 3, 2017 ",berlin government contract month work spy intelligence service news group security funds budget committee house parliament newspaper chain company satellite system bid intelligence agency information threat paper chancellery data imagery market paper crises world information intelligence comment chancellery intelligence agency
14106,Argentine navy says unusual noise heard on day sub disappeared,"BUENOS AIRES (Reuters) - An unusual noise was detected last week on the day an Argentine submarine went missing, near its last reported position, navy spokesman Enrique Balbi told reporters on Wednesday. Pressed by reporters on the nature of the detected sound, Balbi declined to say whether it indicated an explosion or other emergency aboard the ARA San Juan, which was last heard from on Nov. 15.  ",worldnews,"November 22, 2017 ",noise week day argentine submarine position spokesman nature sound explosion emergency san
6343,"Trump adviser: TPP 'dead,' will move quickly on bilateral trade deals","WASHINGTON (Reuters) - President-elect Donald Trump will not revive his predecessor’s stalled Trans-Pacific Partnership trade deal in any form, but will quickly pursue bilateral trade agreements, a Trump transition policy adviser said. “TPP is dead. I cannot stress that more strongly,” said the adviser, who requested anonymity because he was not authorized to speak publicly for the administration that takes office on Jan. 20.  “TPP, or a multilateral agreement that looks like TPP but is called something else, is emphatically dead.” On Wednesday, Trump’s nominee for secretary of state, Rex Tillerson, said he was not opposed to President Barack Obama’s 12-country Pacific Rim trade deal but shared some of Trump’s views “on whether the agreement that was negotiated serves all of America’s interests at best.” Speaking by phone late on Thursday, the Trump adviser said Tillerson was expressing some personal views on free trade theory. The adviser said the administration was not going to pursue multilateral trade deals. “You will be shocked by the speed at which bilateral agreements begin to materialize,” the adviser said. Britain has expressed strong interest in a bilateral trade deal with the United States once it exits the European Union.  Official spokespeople for the Trump transition team did not respond to Reuters’ requests for further comment.  The adviser said he would not rule out declaring China a currency manipulator or levying tariffs on Chinese goods as a means of reducing massive U.S. trade deficits with China. He declined to speculate how quickly a currency designation could come, adding that the issue needed further review. The Trump policy adviser said the new administration is determined to reverse years of Chinese trade practices that have “hollowed out” the U.S. manufacturing base.   “You have to understand the view of this administration that China is essentially perpetrating an economic war, they’re already engaged in a trade war against us,” the adviser said. ",politicsNews,"January 13, 2017 ",president trump predecessor partnership trade deal form trade transition policy adviser stress adviser anonymity administration office agreement something trump nominee secretary state rex president country pacific trade deal trump agreement speaking phone trump adviser trade theory adviser administration trade speed adviser interest trade deal union official trump transition team comment adviser china currency manipulator goods trade china currency designation issue trump policy adviser administration trade base view administration china war trade war adviser
5520,Under Armour-sponsored athletes oppose CEO's pro-Trump comments,"NEW YORK (Reuters) - Professional ballet dancer Misty Copeland and wrestler turned-actor Dwayne “The Rock” Johnson joined National Basketball Association star Stephen Curry in opposing comments made by the chief executive of their sponsor Under Armour supporting U.S. President Donald Trump. On Tuesday, Plank expressed support for Trump on CNBC, saying: “To have such a pro-business president is something that is a real asset for the country.” On Thursday, Copeland wrote on her Instagram page (@mistyonpointe) that she strongly disagrees with Plank’s recent comments in support of Trump.  Johnson on Twitter (@TheRock) also posted that Plank’s words on CNBC were neither his words or his beliefs. But he added that his disagreement does not mean he will be abandoning Under Armour, with which he currently has a shoe line. Copeland and Johnson join a number of athletes including Curry to speak out against Trump. In an interview with The San Jose Mercury News on Wednesday, Curry, one of Under Armour’s most-visible athletes, said, “I agree with that description (of asset made by Plank), if you remove the ‘et’.” A number of NBA players including Cleveland Cavaliers superstar LeBron James, who is endorsed by Nike Inc, have recently expressed concerns over Trump’s policies. But Curry is the first player to directly oppose comments made by their sponsor.      Plank’s comments immediately drew backlash on social media with many using hashtags #boycottUnderArmour and #Grabyourwallet to promote a campaign against pro-Trump companies. Under Armour has since released a statement saying Plank’s comments were in regard to Trump’s business policies, not his social viewpoints.  “We believe in advocating for fair trade, an inclusive immigration policy that welcomes the best and the brightest and those seeking opportunity in the great tradition of our country, and tax reform that drives hiring to help create new jobs globally, across America and in Baltimore,” the company said. Under Armour is based in Baltimore.  Under Armour was not immediately available for comment on Thursday. Curry, who has a multimillion-dollar contract that includes an equity stake in Under Armour that runs through 2024, said in the interview that Plank working with Trump is not a deal-breaker, but he is more concerned about Under Armour adopting Trump’s values.  Curry endorsed Hilary Clinton, Trump’s Democrat opponent, in the Nov. 8 election. Shares of Under Armour closed up nearly 3 percent at $21.71 on Thursday. ",politicsNews,"February 9, 2017 ",york ballet dancer misty wrestler actor rock basketball association star curry executive sponsor president plank support trump business president something asset country page plank support trump twitter plank disagreement line join number curry trump interview news description asset plank number trump curry player sponsor plank backlash media campaign trump statement regard business trade immigration policy opportunity tradition country tax reform company comment curry multimillion dollar contract equity stake interview trump deal breaker trump trump democrat opponent election percent
11455,"Mexico murders hit record high, dealing blow to president","MEXICO CITY (Reuters) - Mexico has this year registered its highest murder total since modern records began, according to official data, dealing a fresh blow to President Enrique Pena Nieto s pledge to get gang violence under control with presidential elections due in 2018. A total of 23,101 murder investigations were opened in the first 11 months of this year, surpassing the 22,409 registered in the whole of 2011, figures published on Friday night by the interior ministry showed. The figures go back to 1997. Pena Nieto took office in December 2012 pledging to tame the violence that escalated under his predecessor Felipe Calderon. He managed to reduce the murder tally during the first two years of his term, but since then it has risen steadily. At 18.7 per 100,000 inhabitants, the 2017 Mexican murder rate is still lower than it was in 2011, when it reached almost 19.4 per 100,000, the data showed. The rate has also held below levels reported in several other Latin American countries. According to U.N. figures used in the World Bank s online database, Brazil and Colombia both had a murder rate of 27 per 100,000, Venezuela 57, Honduras 64 and El Salvador 109 in 2015, the last year for which data are available. The U.S. rate was 5 per 100,000. Still, Pena Nieto s failure to contain the killings has damaged his credibility and hurt his centrist Institutional Revolutionary Party (PRI), which faces an uphill struggle to hold onto power in the July 2018 presidential election. The law bars Pena Nieto from running again. The current front-runner in the race, leftist Andres Manuel Lopez Obrador, has floated exploring an amnesty with criminal gangs to reduce the violence, without fleshing out the idea. Mexican newspaper Reforma said on Saturday that after a campaign stop in the central state of Hidalgo on Friday, Lopez Obrador again addressed the issue when asked whether talks aimed at stopping the violence could include criminal gangs.  There can be dialogue with everyone. There needs to be dialogue and there needs to be a push to end the war and guarantee peace. Things can t go on as before,  Reforma quoted Lopez Obrador as saying. Such a strategy harbors risks for the former Mexico City mayor. A poll this month showed that two-thirds of Mexicans reject offering an amnesty to members of criminal gangs in a bid to curb violence, with less than a quarter in favor. Separately, Lopez Obrador said on Saturday he would get rid of Mexico s intelligence agency CISEN if he won the July election, calling it an  unnecessary expense.   We re not going to monitor anybody, we re not going to spy, we re not going to listen to phone calls, or hack phones to get files and photos,  he said in the central town of Tezontepec. ",worldnews,"December 23, 2017 ",city year murder total data blow president pledge violence control total murder year whole night ministry office violence predecessor murder term murder rate data rate world bank brazil murder rate year data rate failure credibility centrist party struggle power election law front runner race amnesty violence idea newspaper campaign stop state hidalgo issue violence everyone push war guarantee peace strategy city mayor poll month amnesty bid violence quarter favor intelligence agency election expense anybody phone hack town
